sol,kcal_2_1,galley_h,prep_h,cook_h,clean_h,earth_fraction
1,3035.0,13.48,5.78,5.08,2.62,0.3905
2,3035.0,14.83,7.47,4.97,2.40,0.3631
3,3035.0,19.03,9.17,7.13,2.73,0.4714
4,3035.0,15.43,5.75,6.83,2.85,0.3944
5,3035.0,13.90,4.78,6.55,2.57,0.4481
6,3035.0,13.35,5.27,5.72,2.37,0.4519
7,3257.0,16.70,7.25,6.63,2.82,0.3495
8,3035.0,15.17,5.02,7.67,2.48,0.3790
9,3035.0,13.38,5.20,5.75,2.43,0.4167
10,3035.0,15.05,6.67,5.57,2.82,0.4065
11,3035.0,17.82,8.78,6.47,2.57,0.4638
12,3053.0,14.20,5.80,5.88,2.52,0.3296
13,3038.0,18.72,9.15,6.73,2.83,0.4387
14,3140.0,14.48,5.60,6.25,2.63,0.4581
